time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444800000	5.83918	1.4335	2.2049	0.51914	0.3528	lidar	3.95253e-323	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	6.49072	1.31938	2.78526	0.122695	-0.0490651	radar	2.76677e-321	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	5.83931	1.43355	2.2049	0.51914	0.3528	lidar	3.95253e-323	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	6.50501	1.32326	2.77031	0.149226	-0.00173744	radar	2.76677e-321	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	5.83942	1.43358	2.2049	0.51914	0.3528	lidar	3.95253e-323	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	6.59855	1.27859	2.86939	0.0861887	-0.0482149	radar	2.76677e-321	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	5.83951	1.43361	2.2049	0.51914	0.3528	lidar	3.95253e-323	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	6.56974	1.3107	2.84296	0.144754	0.0181357	radar	2.76677e-321	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	5.83959	1.43363	2.2049	0.51914	0.3528	lidar	3.95253e-323	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	6.63027	1.41433	2.97624	0.214182	0.0823374	radar	2.76677e-321	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	5.83965	1.43365	2.2049	0.51914	0.3528	lidar	3.95253e-323	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	6.67683	1.3643	2.98483	0.172169	0.054614	radar	2.76677e-321	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	5.8397	1.43367	2.2049	0.51914	0.3528	lidar	3.95253e-323	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	6.71991	1.49294	3.08657	0.262999	0.132757	radar	2.76677e-321	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	5.83974	1.43368	2.2049	0.51914	0.3528	lidar	3.95253e-323	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	6.60393	1.56251	2.95013	0.366823	0.226046	radar	2.76677e-321	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	5.83977	1.43369	2.2049	0.51914	0.3528	lidar	3.95253e-323	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	6.73068	1.5044	3.02645	0.289819	0.166198	radar	2.76677e-321	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	5.8398	1.43369	2.2049	0.51914	0.3528	lidar	3.95253e-323	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	6.81765	1.5222	3.13336	0.275628	0.153314	radar	2.76677e-321	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	5.83982	1.4337	2.2049	0.51914	0.3528	lidar	3.95253e-323	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	6.80831	1.64759	3.17905	0.368478	0.227976	radar	2.76677e-321	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	5.83983	1.4337	2.2049	0.51914	0.3528	lidar	3.95253e-323	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	6.84091	1.65736	3.14398	0.376239	0.241287	radar	2.76677e-321	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	5.83985	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	6.88528	1.58015	3.14738	0.311205	0.189283	radar	2.76677e-321	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	5.83985	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	6.91192	1.6554	3.15282	0.362457	0.235593	radar	2.76677e-321	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	5.83986	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	6.96624	1.68114	3.23189	0.361227	0.232416	radar	2.76677e-321	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	5.83986	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	6.93222	1.73081	3.14085	0.416998	0.286176	radar	2.76677e-321	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	6.98874	1.68892	3.19055	0.369298	0.245379	radar	2.76677e-321	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	7.00554	1.69473	3.18236	0.371901	0.25003	radar	2.76677e-321	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
